title,authors,source,date,database,quote,download
基于CiteSpace的国内外网络自我表露研究对比分析,['杜颖莹'],新媒体研究,2021-09-25,期刊,,22

基于知识图谱下我国户外运动研究可视化分析,"['贺立娥', '李学武', '刘兵', '彭程']",宜春学院学报,2021-09-25,期刊,,1

基于Web of Science文献计量分析的TOD研究进展,"['吴韬', '张梦莹', '曾越']",['面向高质量发展的空间治理——2021中国城市规划年会论文集（04城市规划历史与理论）'],2021-09-25,中国会议,,11

乡村振兴背景下小城镇规划的研究进程与趋势——基于CiteSpace的知识图谱建构与分析,"['武丹', '乔晶']",['面向高质量发展的空间治理——2021中国城市规划年会论文集（18小城镇规划）'],2021-09-25,中国会议,,16

新时期我国城乡一体化发展的研究热点与进程——基于CiteSpace的知识图谱分析,"['邱宁宁', '刘泽', '宋向月']",['面向高质量发展的空间治理——2021中国城市规划年会论文集（18小城镇规划）'],2021-09-25,中国会议,,16

国内外游憩服务价值评估研究热点及趋势特征——基于知识图谱的文献计量分析,"['王一晴', '陆明', '吴远翔', '柳清']",['面向高质量发展的空间治理——2021中国城市规划年会论文集（08城市生态规划）'],2021-09-25,中国会议,,20

基于CiteSpace文献计量分析的国内韧性城市研究进展,['李娜'],['面向高质量发展的空间治理——2020中国城市规划年会论文集（05城市规划新技术应用）'],2021-09-25,中国会议,,10

基于知识图谱的信息政策与法规研究主题可视化分析,['吕红'],科技情报研究,2021-09-24,期刊,,420

基于多维数据知识内容和关联深层融合的知识发现研究综述,"['谭晓', '李辉', '许海云']",科技情报研究,2021-09-24,期刊,,286

返乡农民工创业研究热点分析与前沿变迁——基于CiteSpace的知识图谱分析,['范力军'],云南农业大学学报(社会科学),2021-09-23,期刊,,308

获得感研究述评与展望——基于2015—2020年文献CiteSpace可视化分析,"['张正', '金丽馥']",江苏大学学报(社会科学版),2021-09-22,期刊,,924

title,authors,source,date,database,quote,download

基于Citespace的国内外灾害护理研究热点的可视化分析,"['杨浩杰', '董丽丽', '梁涛']",护士进修杂志,2021-09-22,期刊,,421

基于画像分析的高校图书馆精准知识服务研究,"['卢思佳', '王凤姣']",大学图书馆学报,2021-09-21,期刊,,122

1985—2020年我国科研院所治理研究的文献计量分析,"['王艳英', '汝绪伟', '纪宗华', '李雨莹']",技术与创新管理,2021-09-20,期刊,,9

基于知识图谱的科技金融研究可视化分析,"['高莉莉', '张富程']",技术与创新管理,2021-09-20,期刊,,39

基于CiteSpace的国内家具设计研究态势可视化分析,"['周橙旻', '赵晗肖', '张玉荣']",包装工程,2021-09-20,期刊,,71

我国教师负担研究的热点与前沿分析(2001—2020年)——基于CiteSpace的可视化分析,['刘卓雯'],教育与教学研究,2021-09-20,期刊,,257

我国教育制度创新研究的动态、热点与趋势——基于CiteSpace的可视化分析,"['徐弛', '黄冕']",当代教育理论与实践,2021-09-20,期刊,,49

国内MTI教育研究现状与趋势(2006—2019年)——基于CSSCI期刊论文的科学知识图谱分析,"['龙晓翔', '刘莎']",当代教育理论与实践,2021-09-20,期刊,,43

中国科技评价研究热点述评,"['张硕', '陶蕊', '施筱勇']",科技管理研究,2021-09-20,期刊,,79

国内外数字服务化比较研究:基于知识图谱的可视化分析,"['高腾飞', '陈刚']",科技管理研究,2021-09-20,期刊,,125

2011—2021年中国民族传统体育研究的可视化分析,"['王伟', '谢智学']",西昌学院学报(自然科学版),2021-09-20,期刊,,17

我国未成年人法学研究的回顾与展望——基于citespace知识图谱的可视化分析,['孙若尘'],青少年犯罪问题,2021-09-20,期刊,,22

国际危机传播研究可视化分析及启示（2001—2020）,"['卓翔', '任杰']",印刷文化(中英文),2021-09-20,期刊,,

近20年我国滑雪运动科研状况的文献分析——基于科学知识图谱的可视化研究,"['郭增杨', '何越']",冰雪体育创新研究,2021-09-20,期刊,,1

高等教育国际化背景下的智慧图书馆建设探究,"['王顺先', '金耀', '许淮']",时代报告(奔流),2021-09-20,期刊,,1

共青团研究的热点主题及未来路向——基于CiteSpace的可视化分析,"['柴颖', '汪勇']",河北青年管理干部学院学报,2021-09-18,期刊,,281

标准文件的知识图谱组织模式探究,"['刘慧琳', '牛力']",档案学通讯,2021-09-18,期刊,,41

中国人口家庭式迁移研究的知识图谱分析,['蔡少燕'],世界地理研究,2021-09-17,期刊,,603

基于知识图谱的企业风险发现,"['丁晟春', '叶子']",图书馆论坛,2021-09-16,期刊,,247

国内马拉松研究的可视化分析及国际比较,"['漆才杰', '郭远兵', '彭小伟']",沈阳体育学院学报,2021-09-16,期刊,,288

title,authors,source,date,database,quote,download

基于文献计量学的生态恢复发展脉络与趋势分析,"['张晶', '马建霞', '陈春', '李娜']",科技促进发展,2021-11-23,期刊,,

基于CiteSpace软件的科技期刊媒体融合相关研究分析,"['钦嫣', '吕佳', '孙洋洋', '徐晶']",传播与版权,2021-11-22,期刊,,

国内创新创业政策知识图谱研究——基于1998—2021年文献的CiteSpace可视化分析,"['易文思', '罗国宇']",教育观察,2021-11-22,期刊,,

体育课程思政研究现状及展望——基于科学知识图谱的可视化分析,"['赵芳', '刘楚琛', '赵美川', '李雪榴']",教育观察,2021-11-22,期刊,,

毕业后医学教育模拟教学研究热点与趋势的可视化分析,"['袁静', '王滔']",中国继续医学教育,2021-11-20,期刊,,

基于文献计量的知识图谱在中医药领域中的应用分析,"['井媛媛', '王连心', '李敬华', '姜俊杰']",世界科学技术-中医药现代化,2021-11-19,期刊,,

知识重组与场景再构：面向数字资源管理的元宇宙,"['向安玲', '高爽', '彭影彤', '沈阳']",图书情报知识,2021-11-19,期刊,,

我国数字阅读研究知识图谱分析——基于CSSCI期刊论文,"['徐丽芳', '周伊']",出版科学,2021-11-18,期刊,,82

基于CiteSpace的高职创新创业教育研究进展与趋势探析,['陈建明'],继续教育研究,2021-11-17,期刊,,130

公安领域流动人口研究的热点与现状——基于Cite Space的知识图谱分析,['王晨曦'],经营与管理,2021-11-17,期刊,,57

工业互联网综述与展望：基于文献计量分析,"['唐国锋', '冯子钰', '李丹', '艾兴政']",计算机集成制造系统,2021-11-15,期刊,,294

雷公藤毒性研究进展的CiteSpace知识图谱分析,"['韩姗姗', '代彦林', '丁樱', '张霞', '孙利辉', '', '高敏']",中国中药杂志,2021-11-15,期刊,,255

盐湖提锂知识图谱分析——Citespace可视化分析,"['马超群', '黄海港', '何利华']",化学工业与工程,2021-11-15,期刊,,

国内机构养老设施文献综述研究与展望——基于Citespace软件运用,"['赵小龙', '徐佳敏']",建筑与文化,2021-11-15,期刊,,

基于文献计量学的装配式建筑可视化研究,"['魏宏亮', '冯力强', '吴星蓉', '张雷', '刘福江']",技术与市场,2021-11-15,期刊,,

知识图谱视角下地理乡村振兴研究热点可视化分析,['马文亚'],南方农机,2021-11-13,期刊,,158

采用文献计量可视化知识图谱分析的装配式建筑预制供应链管理,"['秦旋', '张赵鑫', '朱倩影']",华侨大学学报(自然科学版),2021-11-13,期刊,,79

UCD研究进展、热点与趋势分析,"['武星廷', '陈永康', '刘梦非']",包装工程,2021-11-12,期刊,,99

新世纪以来国际体育场馆研究的热点前沿及进展演化分析,"['潘怡', '姚绩伟', '曹胡丹']",浙江体育科学,2021-11-12,期刊,,36

基于Citespace的地表水-地下水相互作用研究文献分析,"['刘玉玉', '冯雨晴', '姜欣']",南水北调与水利科技(中英文),2021-11-11,期刊,,142

title,authors,source,date,database,quote,download

国内针灸临床随机对照试验45年（1975–2019）：热点与趋势,"['庞博', '易少威', '单心觉', '陈欣欣', '朱征', '', '欧益', '徐倩', '丁帅', '许文青', '姜涛', '张俊华']",中国针灸,2021-11-10,期刊,,63

研究生教育研究的进展、热点与趋势——基于国内外核心数据库文献的可视化知识图谱分析,"['王坦', '许家瑞', '胡伟力']",西南民族大学学报(人文社会科学版),2021-11-10,期刊,,86

装配式建筑与BIM集成研究的学术热点及演进趋势——基于CiteSpace与Ucinet的文献计量可视化分析,"['何文玉', '文新鹏', '黄新开', '彭俊龙', '廖羚']",['第八届BIM技术国际交流会——工程项目全生命期协同应用创新发展论文集'],2021-11-10,中国会议,,30

基于CiteSpace可视化分析热敏灸研究热点与发展趋势,"['毕婕妤', '方俊霖', '姜伟佳', '孙咪', '于慧娟', '', '张昕', '谭奇纹']",世界中医药,2021-11-08,期刊,,140

国内外引文内容分析研究进展,['周志超'],情报杂志,2021-11-08,期刊,,44

基于CiteSpace的中医药治疗功能性消化不良知识图谱可视化研究,"['邹孟龙', '黄晓燕', '陈雅璐', '宁芯']",时珍国医国药,2021-11-08,期刊,,179

我国突发公共事件研究（2003—2020年）：热点与趋势——基于citespace知识图谱可视化分析,"['钟莉', '郭艳平']",云南行政学院学报,2021-11-08,期刊,,256

基于森林公园建设研究进展的知识图谱可视化分析,"['万浩宇', '闫晨雨', '王一三']",安徽农业科学,2021-11-08,期刊,,46

国际建成环境与体力活动领域研究回顾与展望,"['杨剑', '郭正茂']",成都体育学院学报,2021-11-04,期刊,,46

基于Web of Science的城市空间紧凑度研究知识图谱分析,"['蓝婷', '唐立娜', '徐智邦', '贾玉秋']",生态学报,2021-11-04,期刊,,59

基于CiteSpace的中国共产党党史研究文献知识图谱分析,"['修新田', '陈月霄', '林婉玲', '宋旺']",图书馆理论与实践,2021-11-04,期刊,,207

基于CNKI数据库的国内草原生态补偿研究的知识图谱分析,"['高玉娟', '石娇']",中国农业资源与区划,2021-11-03,期刊,,66

基于知识图谱的管道完整性管理研究特征与热点演化,"['帅健', '王伟', '梅苑', '金国清']",油气储运,2021-11-03,期刊,,49

基于知识图谱的微博主题演变路径研究,"['黄微', '卢国强', '赵旭']",情报理论与实践,2021-11-02,期刊,,175

知识图谱分析的可能性与民俗学研究方法的多元化：一项基于辽宁省非遗研究(2007-2020)的可视化探索,"['吉国秀', '郭晓宇']",民俗研究,2021-11-02,期刊,,72

面向非遗文本的知识组织模式及人文图谱构建研究,"['张卫', '王昊', '李跃艳', '邓三鸿']",情报资料工作,2021-11-01,期刊,,103

国内慕课研究的热点与发展趋势——基于CiteSpace的知识图谱分析,"['秦海波', '张乃波', '冯晓雯', '李莉莉']",科技促进发展,2021-11-01,期刊,,158

基于知识图谱的政策文本协同性推理研究,"['韩娜', '马海群', '刘兴丽']",情报科学,2021-11-01,期刊,,90

我国智库评价研究态势、热点与趋势——基于《中国学术期刊(网络版)》数据的分析,"['孙掌印', '姚凯波', '徐路', '金敏婕']",现代情报,2021-11-01,期刊,,71

我国舆情决策研究的可视化分析,"['邹汶君', '张双狮', '夏一雪', '陈蕾']",中国管理信息化,2021-11-01,期刊,,

title,authors,source,date,database,quote,download

行政复议法修改的热点与趋势——基于CiteSpace知识图谱可视化分析,['鲍田莉'],"['《上海法学研究》集刊（2021年第7卷', '总第55卷）——律师法学研究文集']",2021-11-01,中国会议,,

基于科学知识图谱对我国1999-2019年竞技体操研究成果中作者的可视化分析,['宋丽霞'],文体用品与科技,2021-11-01,期刊,,25

基于知识图谱的少数民族体育研究热点与趋势可视化分析,['章国峰'],文体用品与科技,2021-11-01,期刊,,20

基于CiteSpace的五四新文化运动时期书籍设计研究的图谱分析,"['王华', '万长林']",湖南包装,2021-10-31,期刊,,9

基于CiteSpace知识图谱可视化分析的侦查理论研究,"['苗林林', '陈京都']",广西警察学院学报,2021-10-31,期刊,,

2008- 2018年中国中医科学院硕博士学位论文研究热点可视化分析,[],国际中医中药杂志,2021-10-30,期刊,,2

我国职业教育产教融合研究热点与趋势——基于CiteSpace的可视化分析,"['陈雪萍', '陈丽君']",教育科学论坛,2021-10-30,期刊,,21

基于CiteSpace的我国脱贫攻坚档案研究热点及趋势分析,['秦成'],黑龙江档案,2021-10-30,期刊,,

基于多模态知识图谱的南海疆维权证据链系统构建,"['司徒凌云', '石进', '杨海平', '沈固朝']",情报杂志,2021-10-29,期刊,,66

我国近二十年幼儿教师师德研究综述——基于CiteSpace知识图谱软件的量化分析,"['黄小倩', '沈小强']",教育观察,2021-10-28,期刊,,79

基于国外数据库的传统村落研究文献知识图谱分析,['户文月'],武汉商学院学报,2021-10-28,期刊,,4

知识图谱技术在消防工作中的应用研究,"['万军', '翟飞']",今日消防,2021-10-28,期刊,,

基于WoS和Citespace的企业家社会资本知识图谱分析,"['张立君', '吴江秋']",集美大学学报(哲学社会科学版),2021-10-28,期刊,,

我国科研建筑研究领域知识图谱可视化分析,"['雷明珠', '崔彤']",西安建筑科技大学学报(自然科学版),2021-10-27,期刊,,54

基于文献计量的全球氢能知识图谱分析,"['周超峰', '孙玉琦', '魏凤', '丰米宁']",现代化工,2021-10-27,期刊,,74

基于Citespace知识图谱的中国适老化研究历程与趋势分析,"['白雪锋', '郑婕', '周成玲', '王浩']",中国老年学杂志,2021-10-25,期刊,,172

国内多模态翻译研究的可视化分析：现状、问题及建议,"['李小华', '唐青叶']",北京科技大学学报(社会科学版),2021-10-25,期刊,,131

中国人力资本文献计量研究——基于CSSCI文献的知识图谱可视化分析,"['杨润高', '尹昊', '况秋华']",科技和产业,2021-10-25,期刊,,82
